userID,restoID,rating
U1001,R0001,4
U1002,R0001,5
U1003,R0001,4
U1004,R0001,3
U1005,R0001,5
U1006,R0001,5
U1007,R0001,5
U1008,R0001,5
U1009,R0001,4
U1010,R0001,5
U1011,R0001,5
U1012,R0001,5
U1013,R0001,5
U1014,R0001,5
U1015,R0001,5
U1024,R0001,5
U1025,R0001,5
U1026,R0001,5
U1027,R0001,5
U1028,R0001,3
U1029,R0001,4
U1030,R0001,5
U1031,R0001,5
U1032,R0001,4
U1037,R0001,5
U1040,R0001,3
U1097,R0001,5
U1098,R0001,5
U1115,R0001,5
U1001,R0002,5
U1002,R0002,5
U1003,R0002,5
U1004,R0002,5
U1005,R0002,5
U1006,R0002,5
U1007,R0002,5
U1008,R0002,5
U1009,R0002,5
U1010,R0002,5
U1011,R0002,5
U1012,R0002,4
U1013,R0002,3
U1014,R0002,2
U1015,R0002,4
U1016,R0002,4
U1017,R0002,4
U1018,R0002,5
U1019,R0002,5
U1020,R0002,5
U1021,R0002,5
U1022,R0002,4
U1023,R0002,4
U1024,R0002,5
U1025,R0002,5
U1026,R0002,5
U1027,R0002,4
U1028,R0002,5
U1029,R0002,5
U1030,R0002,5
U1031,R0002,5
U1032,R0002,4
U1033,R0002,4
U1034,R0002,4
U1035,R0002,5
U1036,R0002,5
U1037,R0002,5
U1038,R0002,5
U1039,R0002,5
U1040,R0002,5
U1041,R0002,4
U1042,R0002,4
U1043,R0002,5
U1044,R0002,4
U1045,R0002,4
U1046,R0002,4
U1047,R0002,5
U1048,R0002,5
U1049,R0002,4
U1050,R0002,5
U1001,R0003,5
U1002,R0003,5
U1021,R0003,5
U1022,R0003,5
U1023,R0003,5
U1059,R0003,5
U1060,R0003,5
U1065,R0003,5
U1066,R0003,5
U1067,R0003,5
U1068,R0003,5
U1069,R0003,5
U1099,R0003,5
U1100,R0003,3
U1101,R0003,5
U1102,R0003,5
U1103,R0003,5
U1104,R0003,4
U1105,R0003,5
U1106,R0003,4
U1107,R0003,5
U1108,R0003,4
U1040,R0003,5
U1109,R0003,5
U1001,R0004,2
U1002,R0004,5
U1021,R0004,5
U1022,R0004,5
U1023,R0004,5
U1059,R0004,4
U1060,R0004,3
U1065,R0004,4
U1066,R0004,5
U1067,R0004,5
U1068,R0004,5
U1069,R0004,4
U1099,R0004,3
U1100,R0004,5
U1101,R0004,5
U1102,R0004,5
U1103,R0004,5
U1104,R0004,5
U1105,R0004,5
U1106,R0004,5
U1107,R0004,4
U1108,R0004,5
U1061,R0004,5
U1062,R0004,5
U1063,R0004,5
U1064,R0004,5
U1070,R0004,5
