placeID, Nama_resto
0001,Atmosphere Resort Café
0002,Braga Permai Resto
0003,Cafe Halaman
0004,Dusun Bambu
0005,Eastern
0006,Hummingbird Eatery
0007,Kampung Daun
0008,Karnivor
0009,Maja House
0010,Miss Bee Providore
0011,Raja Rasa
0012,Sushi Tei
0013,The Peak
0014,The Stone Café
0015,The Valley
0016,Tizi's
0017,Two Hands Full
0018,Warung Pasta
